id,SUStrad[SQ001],SUStrad[SQ002],SUStrad[SQ003],SUStrad[SQ004],SUStrad[SQ005],SUStrad[SQ006],SUStrad[SQ007],SUStrad[SQ008],SUStrad[SQ009],SUStrad[SQ010],SUS11trad[SQ001],UEQtrad[SQ010],UEQtrad[SQ011],UEQtrad[SQ012],UEQtrad[SQ013],UEQtrad[SQ014],UEQtrad[SQ015],UEQtrad[SQ016],UEQtrad[SQ017],UEQtrad[SQ018],UEQtrad[SQ019],UEQtrad[SQ020],UEQtrad[SQ021],UEQtrad[SQ022],UEQtrad[SQ023],UEQtrad[SQ024],UEQtrad[SQ025],UEQtrad[SQ026],UEQtrad[SQ027],UEQtrad[SQ028],UEQtrad[SQ029],UEQtrad[SQ030],UEQtrad[SQ031],UEQtrad[SQ032],UEQtrad[SQ033],UEQtrad[SQ034],UEQtrad[SQ035],SUSbt[SQ001],SUSbt[SQ002],SUSbt[SQ003],SUSbt[SQ004],SUSbt[SQ005],SUSbt[SQ006],SUSbt[SQ007],SUSbt[SQ008],SUSbt[SQ009],SUSbt[SQ010],SUS11bt[SQ001],UEQbt[SQ010],UEQbt[SQ011],UEQbt[SQ012],UEQbt[SQ013],UEQbt[SQ014],UEQbt[SQ015],UEQbt[SQ016],UEQbt[SQ017],UEQbt[SQ018],UEQbt[SQ019],UEQbt[SQ020],UEQbt[SQ021],UEQbt[SQ022],UEQbt[SQ023],UEQbt[SQ024],UEQbt[SQ025],UEQbt[SQ026],UEQbt[SQ027],UEQbt[SQ028],UEQbt[SQ029],UEQbt[SQ030],UEQbt[SQ031],UEQbt[SQ032],UEQbt[SQ033],UEQbt[SQ034],UEQbt[SQ035]
1,AO02,AO03,AO04,AO01,AO04,AO03,AO04,AO01,AO04,AO03,AO04,AO06,AO06,AO04,AO02,AO05,AO04,AO02,AO04,AO02,AO04,AO05,AO03,AO04,AO03,AO05,AO05,AO02,AO04,AO04,AO05,AO04,AO04,AO04,AO05,AO04,AO04,AO04,AO02,AO05,AO01,AO04,AO01,AO05,AO01,AO04,AO01,AO06,AO06,AO06,AO03,AO02,AO03,AO04,AO04,AO04,AO01,AO03,AO06,AO01,AO06,AO06,AO06,AO07,AO01,AO02,AO04,AO07,AO01,AO01,AO02,AO04,AO02,AO05
2,AO04,AO02,AO04,AO02,AO04,AO02,AO04,AO03,AO04,AO02,AO05,AO06,AO06,AO04,AO02,AO02,AO04,AO04,AO04,AO03,AO02,AO04,AO02,AO05,AO04,AO02,AO06,AO02,AO04,AO03,AO06,AO04,AO04,AO04,AO04,AO04,AO04,AO04,AO02,AO04,AO02,AO04,AO02,AO04,AO03,AO04,AO02,AO06,AO06,AO06,AO02,AO02,AO02,AO06,AO05,AO04,AO02,AO02,AO06,AO02,AO05,AO04,AO06,AO06,AO02,AO04,AO02,AO06,AO04,AO04,AO04,AO02,AO04,AO06
4,AO02,AO02,AO02,AO04,AO04,AO03,AO04,AO02,AO03,AO04,AO04,AO03,AO04,AO06,AO04,AO03,AO04,AO04,AO06,AO05,AO06,AO03,AO04,AO03,AO03,AO03,AO04,AO02,AO03,AO04,AO05,AO05,AO05,AO03,AO04,AO04,AO06,AO04,AO02,AO05,AO04,AO04,AO02,AO05,AO02,AO04,AO04,AO06,AO06,AO05,AO03,AO02,AO02,AO05,AO05,AO05,AO02,AO04,AO06,AO02,AO05,AO04,AO05,AO05,AO02,AO03,AO04,AO06,AO02,AO06,AO02,AO04,AO03,AO05
3,AO03,AO02,AO04,AO01,AO04,AO02,AO05,AO04,AO03,AO01,AO04,AO03,AO07,AO04,AO01,AO03,AO03,AO03,AO06,AO05,AO04,AO02,AO04,AO04,AO03,AO04,AO02,AO02,AO06,AO04,AO03,AO02,AO06,AO03,AO05,AO04,AO04,AO02,AO01,AO04,AO01,AO04,AO01,AO05,AO03,AO03,AO01,AO04,AO04,AO05,AO04,AO02,AO03,AO03,AO04,AO05,AO04,AO04,AO05,AO04,AO05,AO04,AO05,AO03,AO05,AO04,AO03,AO05,AO03,AO04,AO03,AO04,AO03,AO05
5,AO03,AO02,AO04,AO01,AO03,AO01,AO04,AO02,AO03,AO02,AO04,AO04,AO05,AO04,AO03,AO04,AO04,AO04,AO05,AO05,AO06,AO04,AO04,AO03,AO04,AO03,AO04,AO03,AO03,AO02,AO04,AO04,AO03,AO04,AO05,AO04,AO02,AO05,AO02,AO05,AO01,AO04,AO02,AO05,AO01,AO04,AO02,AO06,AO04,AO06,AO02,AO02,AO03,AO04,AO05,AO06,AO02,AO03,AO06,AO02,AO06,AO05,AO07,AO06,AO02,AO03,AO02,AO06,AO02,AO06,AO02,AO03,AO03,AO06
6,AO04,AO01,AO05,AO01,AO03,AO03,AO05,AO01,AO03,AO01,AO05,AO04,AO06,AO04,AO01,AO02,AO04,AO04,AO04,AO02,AO04,AO04,AO04,AO07,AO04,AO05,AO04,AO04,AO03,AO04,AO05,AO02,AO05,AO02,AO04,AO04,AO05,AO04,AO03,AO05,AO01,AO04,AO01,AO04,AO04,AO03,AO01,AO05,AO04,AO07,AO03,AO01,AO03,AO04,AO04,AO04,AO04,AO03,AO04,AO02,AO03,AO04,AO06,AO04,AO02,AO04,AO04,AO03,AO01,AO04,AO02,AO04,AO04,AO05
7,AO04,AO02,AO04,AO01,AO05,AO02,AO05,AO02,AO05,AO01,AO06,AO06,AO06,AO05,AO02,AO02,AO03,AO05,AO07,AO03,AO05,AO05,AO03,AO05,AO04,AO03,AO05,AO01,AO04,AO02,AO05,AO02,AO06,AO03,AO04,AO03,AO03,AO04,AO02,AO04,AO02,AO05,AO04,AO05,AO02,AO04,AO01,AO05,AO05,AO05,AO03,AO02,AO02,AO04,AO05,AO06,AO03,AO05,AO06,AO02,AO05,AO04,AO05,AO06,AO02,AO03,AO02,AO06,AO05,AO05,AO03,AO03,AO02,AO05
8,AO04,AO02,AO04,AO01,AO05,AO02,AO04,AO01,AO04,AO02,AO05,AO05,AO05,AO02,AO03,AO02,AO05,AO06,AO04,AO02,AO02,AO06,AO03,AO05,AO04,AO05,AO05,AO02,AO02,AO03,AO05,AO02,AO06,AO02,AO02,AO02,AO06,AO05,AO01,AO05,AO01,AO04,AO02,AO04,AO01,AO04,AO01,AO06,AO06,AO06,AO01,AO03,AO02,AO06,AO06,AO04,AO02,AO02,AO06,AO01,AO04,AO06,AO06,AO05,AO01,AO02,AO02,AO06,AO02,AO06,AO02,AO02,AO02,AO07
9,AO04,AO01,AO05,AO01,AO04,AO01,AO05,AO01,AO05,AO01,AO05,AO04,AO07,AO03,AO01,AO03,AO04,AO04,AO05,AO02,AO04,AO04,AO02,AO06,AO05,AO04,AO04,AO04,AO04,AO02,AO06,AO01,AO06,AO01,AO02,AO03,AO06,AO02,AO01,AO05,AO01,AO03,AO01,AO05,AO01,AO03,AO01,AO04,AO02,AO07,AO03,AO01,AO04,AO04,AO04,AO06,AO01,AO05,AO04,AO04,AO07,AO04,AO04,AO04,AO04,AO04,AO04,AO04,AO01,AO05,AO01,AO05,AO03,AO04
10,AO05,AO02,AO04,AO02,AO04,AO02,AO05,AO02,AO04,AO02,AO05,AO04,AO06,AO04,AO02,AO02,AO04,AO03,AO06,AO02,AO04,AO05,AO01,AO03,AO04,AO05,AO04,AO02,AO04,AO03,AO06,AO02,AO05,AO04,AO04,AO03,AO06,AO04,AO03,AO04,AO05,AO04,AO03,AO05,AO02,AO03,AO02,AO05,AO05,AO02,AO03,AO04,AO02,AO04,AO05,AO04,AO03,AO03,AO05,AO02,AO03,AO04,AO06,AO04,AO02,AO04,AO03,AO06,AO04,AO04,AO06,AO04,AO04,AO06
