id,GENDER,AGE,ABSCHLUSS,ERWERB,EXTENSION,COUNTDIENSTE,COUNTUSES,SUS[SQ001],SUS[SQ002],SUS[SQ003],SUS[SQ004],SUS[SQ005],SUS[SQ006],SUS[SQ007],SUS[SQ008],SUS[SQ009],SUS[SQ010],SUS11[SQ001],UEQ[SQ010],UEQ[SQ011],UEQ[SQ012],UEQ[SQ013],UEQ[SQ014],UEQ[SQ015],UEQ[SQ016],UEQ[SQ017],UEQ[SQ018],UEQ[SQ019],UEQ[SQ020],UEQ[SQ021],UEQ[SQ022],UEQ[SQ023],UEQ[SQ024],UEQ[SQ025],UEQ[SQ026],UEQ[SQ027],UEQ[SQ028],UEQ[SQ029],UEQ[SQ030],UEQ[SQ031],UEQ[SQ032],UEQ[SQ033],UEQ[SQ034],UEQ[SQ035]
1,male,51-55,Bachelor,angestellt,Nein,3,4-mehr(pro Woche),AO02,AO02,AO04,AO04,AO03,AO04,AO04,AO04,AO02,AO04,AO05,AO04,AO03,AO03,AO04,AO04,AO04,AO05,AO03,AO05,AO04,AO05,AO04,AO02,AO04,AO06,AO05,AO06,AO04,AO05,AO03,AO06,AO05,AO03,AO07,AO05,AO05
2,female,26-30,Bachelor,Student,Ja,4,4-mehr(pro Woche),AO04,AO02,AO04,AO02,AO04,AO01,AO04,AO01,AO04,AO01,AO05,AO06,AO07,AO01,AO01,AO01,AO06,AO07,AO07,AO01,AO01,AO07,AO01,AO07,AO04,AO07,AO07,AO01,AO02,AO02,AO06,AO01,AO06,AO01,AO02,AO04,AO07
4,female,26-30,Abitur o.ä.,Student,Ja,3,1-3(pro Monat),AO04,AO02,AO04,AO04,AO04,AO01,AO05,AO02,AO03,AO05,AO06,AO06,AO05,AO04,AO03,AO02,AO06,AO06,AO04,AO02,AO03,AO07,AO01,AO04,AO04,AO06,AO05,AO02,AO02,AO04,AO06,AO03,AO07,AO02,AO04,AO04,AO06
3,male,20-25,Abitur o.ä.,Student,Ja,1,2-3(pro Woche),AO03,AO04,AO02,AO01,AO03,AO01,AO04,AO03,AO03,AO01,AO04,AO04,AO03,AO04,AO04,AO02,AO02,AO04,AO03,AO04,AO05,AO06,AO04,AO03,AO04,AO04,AO03,AO05,AO04,AO06,AO03,AO05,AO05,AO02,AO04,AO05,AO04
5,male,61-65,Bachelor,Rentner,Ja,2,2-3(pro Woche),AO04,AO02,AO04,AO02,AO04,AO02,AO05,AO01,AO04,AO02,AO05,AO05,AO06,AO03,AO02,AO03,AO04,AO06,AO05,AO01,AO03,AO06,AO02,AO06,AO04,AO05,AO05,AO02,AO03,AO02,AO06,AO02,AO06,AO03,AO04,AO02,AO06
6,male,20-25,Master/Diplom,angestellt,Ja,1,1-3(pro Monat),AO05,AO01,AO05,AO01,AO04,AO01,AO05,AO01,AO05,AO01,AO06,AO06,AO07,AO03,AO01,AO02,AO04,AO05,AO06,AO01,AO04,AO06,AO01,AO07,AO04,AO06,AO06,AO02,AO03,AO02,AO06,AO01,AO06,AO01,AO02,AO04,AO06
7,female,20-25,Abitur o.ä.,Student,Ja,3,1-3(pro Monat),AO04,AO02,AO04,AO01,AO03,AO02,AO04,AO01,AO03,AO02,AO05,AO06,AO06,AO04,AO02,AO02,AO04,AO06,AO07,AO03,AO03,AO05,AO03,AO05,AO04,AO04,AO06,AO03,AO04,AO02,AO06,AO03,AO05,AO03,AO04,AO03,AO05
8,male,20-25,Abitur o.ä.,Student,Ja,4,1(pro Woche),AO04,AO01,AO04,AO02,AO04,AO02,AO03,AO01,AO04,AO02,AO06,AO05,AO04,AO02,AO02,AO03,AO05,AO06,AO05,AO02,AO02,AO06,AO02,AO05,AO05,AO06,AO05,AO03,AO02,AO03,AO05,AO03,AO06,AO01,AO02,AO03,AO06
9,female,20-25,Bachelor,Student,Ja,2,1-3(pro Monat),AO03,AO01,AO05,AO01,AO05,AO01,AO05,AO01,AO03,AO01,AO05,AO04,AO06,AO02,AO01,AO04,AO05,AO05,AO03,AO02,AO04,AO06,AO02,AO06,AO04,AO03,AO04,AO03,AO03,AO04,AO06,AO02,AO06,AO01,AO02,AO02,AO04
10,female,18-20,Abitur o.ä.,Student,Nein,1,4-mehr(pro Woche),AO04,AO01,AO04,AO05,AO04,AO03,AO05,AO02,AO03,AO02,AO04,AO06,AO03,AO02,AO01,AO01,AO02,AO04,AO06,AO02,AO01,AO07,AO02,AO03,AO05,AO06,AO06,AO01,AO02,AO02,AO06,AO03,AO05,AO03,AO03,AO04,AO07
11,female,26-30,Abitur o.ä.,Student,Ja,1,2-3(pro Woche),AO04,AO02,AO04,AO01,AO04,AO01,AO03,AO02,AO05,AO01,AO05,AO04,AO06,AO04,AO03,AO03,AO04,AO03,AO03,AO04,AO03,AO06,AO03,AO03,AO04,AO02,AO04,AO02,AO04,AO02,AO04,AO05,AO05,AO02,AO04,AO04,AO04
