id,SUSbt[SQ001],SUSbt[SQ002],SUSbt[SQ003],SUSbt[SQ004],SUSbt[SQ005],SUSbt[SQ006],SUSbt[SQ007],SUSbt[SQ008],SUSbt[SQ009],SUSbt[SQ010]
1,AO04,AO02,AO05,AO01,AO04,AO01,AO05,AO01,AO04,AO01
2,AO04,AO02,AO04,AO02,AO04,AO02,AO04,AO03,AO04,AO02
4,AO04,AO02,AO05,AO04,AO04,AO02,AO05,AO02,AO04,AO04
3,AO02,AO01,AO04,AO01,AO04,AO01,AO05,AO03,AO03,AO01
5,AO05,AO02,AO05,AO01,AO04,AO02,AO05,AO01,AO04,AO02
6,AO04,AO03,AO05,AO01,AO04,AO01,AO04,AO04,AO03,AO01
7,AO04,AO02,AO04,AO02,AO05,AO04,AO05,AO02,AO04,AO01
8,AO05,AO01,AO05,AO01,AO04,AO02,AO04,AO01,AO04,AO01
9,AO02,AO01,AO05,AO01,AO03,AO01,AO05,AO01,AO03,AO01
10,AO04,AO03,AO04,AO05,AO04,AO03,AO05,AO02,AO03,AO02
11,AO05,AO02,AO05,AO01,AO04,AO03,AO04,AO02,AO05,AO01
