id,UEQtrad[SQ010],UEQtrad[SQ011],UEQtrad[SQ012],UEQtrad[SQ013],UEQtrad[SQ014],UEQtrad[SQ015],UEQtrad[SQ016],UEQtrad[SQ017],UEQtrad[SQ018],UEQtrad[SQ019],UEQtrad[SQ020],UEQtrad[SQ021],UEQtrad[SQ022],UEQtrad[SQ023],UEQtrad[SQ024],UEQtrad[SQ025],UEQtrad[SQ026],UEQtrad[SQ027],UEQtrad[SQ028],UEQtrad[SQ029],UEQtrad[SQ030],UEQtrad[SQ031],UEQtrad[SQ032],UEQtrad[SQ033],UEQtrad[SQ034],UEQtrad[SQ035]
1,AO06,AO06,AO04,AO02,AO05,AO04,AO02,AO04,AO02,AO04,AO05,AO03,AO04,AO03,AO05,AO05,AO02,AO04,AO04,AO05,AO04,AO04,AO04,AO05,AO04,AO04
2,AO06,AO06,AO04,AO02,AO02,AO04,AO04,AO04,AO03,AO02,AO04,AO02,AO05,AO04,AO02,AO06,AO02,AO04,AO03,AO06,AO04,AO04,AO04,AO04,AO04,AO04
4,AO03,AO04,AO06,AO04,AO03,AO04,AO04,AO06,AO05,AO06,AO03,AO04,AO03,AO03,AO03,AO04,AO02,AO03,AO04,AO05,AO05,AO05,AO03,AO04,AO04,AO06
3,AO03,AO07,AO04,AO01,AO03,AO03,AO03,AO06,AO05,AO04,AO02,AO04,AO04,AO03,AO04,AO02,AO02,AO06,AO04,AO03,AO02,AO06,AO03,AO05,AO04,AO04
5,AO04,AO05,AO04,AO03,AO04,AO04,AO04,AO05,AO05,AO06,AO04,AO04,AO03,AO04,AO03,AO04,AO03,AO03,AO02,AO04,AO04,AO03,AO04,AO05,AO04,AO02
6,AO04,AO06,AO04,AO01,AO02,AO04,AO04,AO04,AO02,AO04,AO04,AO04,AO07,AO04,AO05,AO04,AO04,AO03,AO04,AO05,AO02,AO05,AO02,AO04,AO04,AO05
7,AO06,AO06,AO05,AO02,AO02,AO03,AO05,AO07,AO03,AO05,AO05,AO03,AO05,AO04,AO03,AO05,AO01,AO04,AO02,AO05,AO02,AO06,AO03,AO04,AO03,AO03
8,AO05,AO05,AO02,AO03,AO02,AO05,AO06,AO04,AO02,AO02,AO06,AO03,AO05,AO04,AO05,AO05,AO02,AO02,AO03,AO05,AO02,AO06,AO02,AO02,AO02,AO06
9,AO04,AO07,AO03,AO01,AO03,AO04,AO04,AO05,AO02,AO04,AO04,AO02,AO06,AO05,AO04,AO04,AO04,AO04,AO02,AO06,AO01,AO06,AO01,AO02,AO03,AO06
10,AO04,AO06,AO04,AO02,AO02,AO04,AO03,AO06,AO02,AO04,AO05,AO01,AO03,AO04,AO05,AO04,AO02,AO04,AO03,AO06,AO02,AO05,AO04,AO04,AO03,AO06
11,AO03,AO03,AO07,AO05,AO04,AO03,AO03,AO03,AO05,AO06,AO03,AO04,AO03,AO04,AO03,AO03,AO02,AO04,AO03,AO03,AO05,AO04,AO04,AO04,AO04,AO04
