id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,6,6,3,2,3,4,4,4,1,3,6,1,6,6,6,7,1,2,4,7,1,1,2,4,2,5
2,6,6,2,2,2,6,5,4,2,2,6,2,5,4,6,6,2,4,2,6,4,4,4,2,4,6
4,6,5,3,2,2,5,5,5,2,4,6,2,5,4,5,5,2,3,4,6,2,6,2,4,3,5
3,4,5,4,2,3,3,4,5,4,4,5,4,5,4,5,3,5,4,3,5,3,4,3,4,3,5
5,4,6,2,2,3,4,5,6,2,3,6,2,6,5,7,6,2,3,2,6,2,6,2,3,3,6
6,4,7,3,1,3,4,4,4,4,3,4,2,3,4,6,4,2,4,4,3,1,4,2,4,4,5
7,5,5,3,2,2,4,5,6,3,5,6,2,5,4,5,6,2,3,2,6,5,5,3,3,2,5
8,6,6,1,3,2,6,6,4,2,2,6,1,4,6,6,5,1,2,2,6,2,6,2,2,2,7
10,5,2,3,4,2,4,5,4,3,3,5,2,3,4,6,4,2,4,3,6,4,4,6,4,4,6
11,5,5,4,1,4,4,4,5,3,4,5,3,6,4,4,5,3,4,4,6,3,5,2,4,4,4
