id,email,hashed_pw,name,reg_timestamp_utc,reg_uuid,reset_pw_timestamp_utc,reset_pw_uuid,salt,secret,balance
1,a,,a,2024-01-25 15:32:58,-,,,,,13574.38
2,b,,b,2024-01-26 15:25:16,-,,,,,10289.68
3,c,,c,2024-01-27 14:33:12,-,,,,,9014.2
4,d,,d,2024-01-27 14:33:30,-,,,,,13523.7
5,e,,e,2024-01-28 10:01:28,-,,,,,10567.38
6,f,,f,2024-01-29 15:40:39,-,,,,,7274.370000000001
7,g,,g,2024-01-31 08:50:56,-,,,,,8792.16
8,h,,h,2024-02-01 07:15:09,-,,,,,5156.38
9,i,,i,2024-02-01 08:52:49,-,,,,,11986.38
10,j,,j,2024-02-02 16:18:55,-,,,,,14180.67
11,k,,k,2024-02-05 08:49:38,-,,,,,9670.38
